subregion,cuenca_n2,area_km2,abr,may,jun,jul,ago,sep,oct,nov,dic,ene,feb,mar,anual,abr_jul,ago_nov,dic_mar
NO,10,8273.4,31.8,25.7,21.5,17.8,12.5,17.6,19.9,22.0,14.4,16.3,18.6,17.5,19.6,24.2,18.0,16.7
NO,11,2593.7,26.2,19.7,18.7,12.3,9.7,12.9,16.4,19.0,12.5,15.3,9.5,9.9,15.2,19.2,14.5,11.8
NO,12,2166.0,29.3,22.9,22.1,14.0,10.9,14.7,17.5,17.6,12.9,12.1,17.5,17.0,17.4,22.1,15.2,14.9
NO,13,9761.1,29.7,26.9,24.6,16.5,12.7,15.7,18.5,17.0,14.0,12.8,17.8,17.3,18.6,24.4,16.0,15.5
NO,14,1635.6,18.6,19.0,17.0,9.4,7.1,9.4,14.2,11.9,10.0,8.3,7.1,10.3,11.9,16.0,10.7,8.9
NO,15,3435.6,24.6,22.2,20.4,11.6,9.1,11.2,15.3,13.4,11.8,10.8,13.6,14.5,14.9,19.7,12.3,12.6
NE,51,6840.9,23.5,27.9,25.1,23.6,17.6,21.3,21.2,19.0,13.3,8.5,9.5,9.8,18.4,25.0,19.8,10.3
NE,52,3512.2,20.6,28.7,24.8,20.8,17.3,19.3,17.6,16.0,10.8,8.1,7.7,9.3,16.7,23.7,17.5,9.0
O/SO,16,1723.7,22.4,19.1,16.4,9.7,7.5,9.4,14.3,14.3,12.0,10.3,13.6,14.6,13.6,16.9,11.4,12.6
O/SO,17,8599.3,20.6,22.7,19.2,15.8,12.1,12.1,13.9,12.0,9.7,8.4,15.1,11.8,14.4,19.6,12.5,11.2
O/SO,18,3753.7,12.3,13.5,12.2,10.3,8.3,8.0,10.9,9.5,7.1,4.8,11.9,7.3,9.7,12.1,9.2,7.8
O/SO,19,3654.1,4.7,8.6,10.4,9.8,10.1,9.3,15.0,10.3,7.8,3.5,7.5,7.9,8.7,8.4,11.2,6.7
O/SO,20,1526.4,3.2,3.9,5.5,6.6,7.2,6.7,10.0,8.1,6.0,2.3,3.7,8.0,5.9,4.8,8.0,5.0
O/SO,21,1577.9,4.4,6.1,8.1,7.8,8.7,8.0,11.2,9.3,5.7,2.4,4.1,8.2,7.0,6.6,9.3,5.1
O/SO,22,928.7,4.5,6.3,7.8,7.2,8.5,7.7,10.8,9.5,5.1,2.0,3.5,7.1,6.7,6.5,9.1,4.4
O/SO,23,1857.8,6.9,10.9,12.4,11.7,11.5,10.5,12.9,10.4,5.9,3.1,6.1,9.6,9.3,10.5,11.3,6.2
O/SO,55,5516.7,16.1,22.5,20.5,18.9,14.4,14.6,16.1,11.6,8.3,5.8,13.2,9.5,14.3,19.5,14.2,9.2
O/SO,57,3814.6,7.7,13.7,14.3,13.7,13.2,11.7,16.6,11.9,7.8,4.1,8.7,9.3,11.1,12.3,13.3,7.5
O/SO,58,8689.2,10.9,14.1,13.6,12.4,10.5,10.0,13.2,10.1,7.9,5.2,12.3,8.4,10.7,12.8,11.0,8.4
S/SE,24,1857.7,5.8,9.9,13.1,14.1,12.9,12.1,13.3,10.4,5.5,2.8,3.8,7.6,9.3,10.7,12.2,4.9
S/SE,26,1382.6,6.1,10.4,15.5,17.2,16.5,14.8,15.1,11.2,5.5,2.9,2.3,6.6,10.3,12.3,14.4,4.3
S/SE,27,802.0,8.6,12.9,18.7,19.3,19.0,16.1,16.3,11.4,6.2,3.5,4.7,9.2,12.2,14.9,15.7,5.9
S/SE,28,1343.4,9.8,13.5,20.9,22.1,22.6,18.3,17.6,11.4,6.3,3.6,7.3,9.9,13.6,16.6,17.5,6.8
S/SE,29,910.4,9.3,13.3,21.1,23.3,23.7,18.3,17.0,9.6,5.3,3.1,6.1,9.0,13.3,16.8,17.1,5.9
S/SE,30,1499.0,10.2,14.1,21.8,24.0,24.2,18.4,16.8,9.4,5.1,3.5,6.7,10.0,13.7,17.5,17.2,6.3
S/SE,31,2554.5,8.8,13.3,21.6,24.4,24.3,17.6,17.0,9.2,4.2,2.6,3.6,9.4,13.0,17.0,17.0,5.0
S/SE,32,1484.4,6.3,11.1,19.0,23.1,23.6,17.3,16.1,9.3,4.2,2.2,2.7,7.0,11.8,14.9,16.6,4.0
S/SE,33,1032.0,4.6,9.6,16.2,21.1,21.6,16.3,12.6,9.7,4.9,2.5,4.2,5.2,10.7,12.9,15.0,4.2
S/SE,40,1977.0,15.7,21.3,26.0,30.9,25.1,24.3,19.2,16.6,8.4,4.7,11.6,7.4,17.6,23.5,21.3,8.0
S/SE,42,1225.5,10.1,16.4,24.4,27.9,25.2,21.6,16.7,11.9,7.2,3.9,9.6,5.5,15.0,19.7,18.8,6.5
S/SE,43,5329.5,15.3,22.3,28.0,28.9,23.1,21.5,16.7,13.5,9.9,6.7,11.3,8.3,17.1,23.6,18.7,9.0
S/SE,44,12181.1,10.5,15.6,22.8,25.6,23.3,19.8,16.2,11.0,7.0,4.5,8.3,7.7,14.4,18.6,17.6,6.9
S/SE,45,3115.4,6.5,11.9,19.1,23.2,22.5,17.7,13.6,10.0,5.7,3.1,5.7,5.7,12.1,15.2,16.0,5.1
S/SE,46,2209.4,6.1,11.2,18.1,22.6,22.5,16.9,13.2,9.8,5.1,2.7,5.1,6.2,11.6,14.5,15.6,4.8
S/SE,60,5194.6,8.7,12.4,19.9,21.4,22.1,18.2,18.0,11.5,6.6,3.4,6.7,9.3,13.2,15.6,17.5,6.5
S/SE,63,727.3,5.4,9.5,14.3,16.2,14.6,13.9,14.4,10.6,5.5,2.9,2.1,6.7,9.7,11.3,13.4,4.3
S/SE,64,145.5,5.2,9.1,13.3,15.2,13.4,13.2,13.8,10.4,5.4,2.9,1.9,6.7,9.2,10.7,12.7,4.2
S/SE,66,370.5,5.0,8.9,12.5,14.3,12.7,12.7,13.4,10.3,5.4,2.8,1.8,6.5,8.9,10.2,12.3,4.1
S/SE,67,165.5,5.6,9.6,14.1,16.0,14.6,13.8,14.1,10.8,5.3,2.9,2.0,6.5,9.6,11.3,13.3,4.2
S/SE,68,100.9,5.1,9.0,13.1,15.7,14.7,13.9,14.3,11.0,5.2,2.8,1.8,5.6,9.3,10.7,13.5,3.9
C/CE,41,4701.4,14.0,19.2,24.6,29.8,23.5,22.9,17.8,15.5,8.0,5.0,11.1,7.5,16.6,21.9,19.9,7.9
C/CE,50,11473.7,16.3,22.4,27.1,29.3,21.2,22.4,18.7,16.7,9.7,5.6,8.7,6.2,17.0,23.8,19.8,7.5
C/CE,53,6005.6,18.1,24.3,27.2,27.6,20.0,22.1,19.4,17.8,10.4,6.1,7.6,6.0,17.2,24.3,19.8,7.5
C/CE,54,8890.4,15.4,23.0,22.8,22.0,17.3,18.0,17.3,13.8,8.8,5.9,10.0,8.0,15.2,20.8,16.6,8.2
C/CE,56,13790.6,10.8,17.2,21.1,19.9,18.6,16.7,17.2,12.4,6.6,4.1,9.2,9.4,13.6,17.2,16.2,7.3
C/CE,61,2582.4,8.1,12.5,19.3,20.0,20.6,17.5,17.6,11.9,6.6,3.5,6.5,9.8,12.8,15.0,16.9,6.6
C/CE,62,670.5,6.3,10.9,16.4,17.4,16.4,15.4,16.1,10.9,6.6,3.4,4.1,8.4,11.0,12.7,14.7,5.6
C/CE,65,3585.1,7.8,13.1,15.6,16.3,15.1,13.5,14.7,11.0,6.3,3.7,6.2,9.9,11.1,13.2,13.6,6.5
